ts_ms,ax,ay,az,gx,gy,gz,mx,my,mz
4,9.725247,0.895431,-0.354342,-0.012657,0.004663,0.006795,-28.045431,46.342449,32.244747
57,9.818622,0.861913,-0.256180,-0.015588,0.001199,0.002132,-30.145090,44.542744,33.444553
110,9.763555,0.864307,-0.383072,-0.016254,0.003864,0.003198,-29.845139,46.792377,31.794821
164,9.763555,0.895431,-0.337582,-0.008127,0.000533,0.001865,-29.395212,46.192474,32.394722
217,9.718064,0.888249,-0.349553,-0.017453,0.007194,0.002132,-30.145090,46.942352,33.444553
271,9.835381,0.828394,-0.349553,-0.018119,0.002265,0.006129,-28.195406,44.992672,33.444553
325,9.775525,0.873884,-0.325611,-0.012657,0.006528,0.001466,-29.395212,45.442596,31.644844
379,9.785102,0.960075,-0.332794,-0.009992,0.005329,0.003997,-29.395212,46.642403,32.394722
433,9.792285,0.859518,-0.354342,-0.016654,0.004130,0.000266,-27.745480,46.642403,32.394722
487,9.761160,0.902614,-0.325611,-0.013456,0.008127,0.004397,-28.795309,45.592571,32.544697
541,9.749189,0.902614,-0.347159,-0.013590,0.002132,0.004663,-29.095261,46.042500,32.544697
595,9.775525,0.876278,-0.354342,-0.010792,0.002398,0.004930,-29.845139,45.142647,32.544697
649,9.768343,0.883460,-0.323217,-0.009992,0.008527,0.002798,-29.545187,45.592571,31.494869
703,9.753978,0.905008,-0.342371,-0.013057,0.005063,-0.000533,-28.195406,45.742550,32.394722
756,9.742006,0.907402,-0.342371,-0.013057,0.005995,0.003198,-28.195406,47.392281,33.144600
808,9.753978,0.861913,-0.349553,-0.015721,0.004663,0.004796,-28.345383,46.342449,33.294575
861,9.787497,0.864307,-0.311246,-0.014789,0.006795,0.002665,-29.395212,46.942352,32.394722
913,9.725247,0.871489,-0.337582,-0.015855,0.003730,0.007461,-29.395212,46.642403,31.644844
966,9.732430,0.943315,-0.325611,-0.012657,0.007861,-0.000266,-28.195406,44.542744,32.394722
1018,9.756371,0.890643,-0.339977,-0.016920,0.007594,0.003597,-30.145090,46.942352,32.394722
1071,9.737218,0.840365,-0.323217,-0.007994,0.004663,0.006262,-28.495358,46.942352,32.694675
1123,9.789890,0.881066,-0.330400,-0.013057,0.002798,0.001199,-27.745480,46.192474,31.194918
1176,9.806650,0.866701,-0.347159,-0.011058,0.003997,0.008793,-28.945284,44.992672,32.394722
1229,9.780313,0.873884,-0.368707,-0.013057,0.003997,0.003730,-28.195406,45.442596,33.444553
1281,9.765948,0.926556,-0.347159,-0.011191,0.005596,0.001599,-28.945284,46.192474,31.944796
1334,9.758766,0.883460,-0.301669,-0.009593,0.003198,0.004263,-29.695162,46.642403,33.144600
1386,9.742006,0.849942,-0.320823,-0.013456,0.004397,0.004263,-28.795309,45.142647,33.294575
1439,9.742006,0.897826,-0.342371,-0.015455,0.006129,0.002931,-29.395212,45.442596,31.644844
1493,9.780313,0.916979,-0.371101,-0.009593,0.001466,0.001865,-28.495358,43.792866,33.144600
1547,9.744401,0.881066,-0.301669,-0.010792,0.006795,0.006662,-28.195406,45.442596,32.394722
1601,9.744401,0.905008,-0.294487,-0.011991,0.002398,0.004796,-29.695162,44.992672,32.394722
1655,9.753978,0.802058,-0.349553,-0.015988,0.001865,-0.000133,-29.545187,45.592571,32.994625
1709,9.737218,0.873884,-0.323217,-0.011991,0.001199,-0.000666,-27.445528,45.742550,31.644844
1762,9.777920,0.861913,-0.363919,-0.018652,0.006662,0.003597,-29.395212,46.642403,32.394722
1816,9.696517,0.893037,-0.368707,-0.010525,0.007994,0.002265,-29.695162,46.192474,30.894966
1870,9.758766,0.866701,-0.339977,-0.010392,0.008394,0.010658,-28.195406,44.542744,30.145090
1924,9.787497,0.888249,-0.397437,-0.013456,-0.002132,0.005995,-28.345383,45.142647,32.544697
1978,9.763555,0.890643,-0.361524,-0.012657,0.004530,0.008527,-27.595505,44.842693,31.794821
2032,9.725247,0.885855,-0.351948,-0.010792,0.003464,0.002798,-28.195406,44.992672,32.694675
2086,9.785102,0.847547,-0.361524,-0.009193,0.004397,0.006395,-29.695162,44.542744,30.894966
2140,9.725247,0.871489,-0.363919,-0.011458,0.002798,0.001466,-28.495358,43.492916,31.944796
2194,9.739613,0.840365,-0.330400,-0.012524,0.004930,0.006395,-28.345383,44.842693,31.044943
2248,9.758766,0.873884,-0.337582,-0.012391,0.004530,0.002132,-27.445528,45.442596,32.394722
2302,9.830592,0.890643,-0.390255,-0.013856,0.001199,0.004130,-28.795309,43.192963,32.544697
2355,9.732430,0.900220,-0.361524,-0.019052,0.006662,0.000266,-28.045431,44.392769,31.794821
2410,9.811439,0.881066,-0.337582,-0.017453,0.004796,0.002798,-28.195406,44.992672,31.644844
2464,9.756371,0.900220,-0.375890,-0.013456,0.004663,0.007194,-27.595505,44.392769,31.794821
2518,9.758766,0.897826,-0.344765,-0.013989,0.004263,0.003997,-27.745480,44.992672,33.144600
2572,9.751583,0.864307,-0.383072,-0.016387,0.005462,0.002398,-28.195406,42.593060,32.694675
2626,9.799467,0.849942,-0.304064,-0.014522,0.009726,0.000666,-28.495358,44.542744,32.694675
2680,9.775525,0.864307,-0.277727,-0.011458,0.005063,0.004796,-28.345383,44.392769,31.794821
2734,9.823410,0.826000,-0.380678,-0.010525,0.005329,0.004397,-27.595505,44.092815,32.544697
2788,9.797073,0.869095,-0.313640,-0.011724,0.002398,0.001732,-28.495358,43.792866,32.694675
2842,9.785102,0.905008,-0.366313,-0.012790,0.003064,0.000400,-27.595505,45.142647,31.494869
2894,9.758766,0.847547,-0.373495,-0.012923,0.008527,0.002798,-29.095261,45.592571,32.544697
2947,9.727641,0.881066,-0.330400,-0.020917,0.000000,0.006262,-26.095749,44.842693,33.294575
2999,9.773131,0.854730,-0.325611,-0.014389,0.007594,0.004530,-29.095261,45.142647,32.994625
3052,9.739613,0.854730,-0.325611,-0.019585,0.005462,0.006129,-29.395212,44.992672,33.444553
3105,9.744401,0.921768,-0.323217,-0.015988,0.003730,0.009459,-27.595505,44.842693,31.044943
3157,9.758766,0.909797,-0.316035,-0.014123,0.004130,0.006262,-28.345383,43.642891,33.744503
3210,9.224859,0.454898,0.378284,-0.137761,0.059554,-0.026247,-28.495358,45.442596,33.894478
3262,10.216059,1.012747,-0.217872,-0.018253,-0.013323,0.076075,-28.945284,44.242794,32.694675
3315,9.964667,0.718261,-0.562637,0.014389,-0.022783,0.219965,-27.745480,44.542744,32.394722
3367,9.950302,0.689530,-0.325611,-0.025314,0.010392,-0.002931,-29.695162,43.492916,31.194918
3420,9.761160,0.972046,-0.339977,-0.017054,0.000533,-0.043034,-27.745480,45.442596,31.944796
3472,9.710882,0.897826,-0.119710,-0.033574,-0.012923,-0.105119,-28.045431,44.392769,31.794821
3525,11.226412,1.154005,-0.907402,0.001199,0.014922,0.274723,-27.595505,45.592571,31.794821
3579,9.284714,0.938527,-0.280122,-0.023982,0.007861,0.009726,-28.945284,45.442596,31.944796
3633,10.388441,0.732626,-0.787692,0.070346,-0.079406,0.070346,-28.795309,44.392769,32.544697
3687,9.425972,0.833182,-0.241814,0.025714,-0.014256,0.009459,-28.045431,44.842693,31.794821
