ts_ms,ax,ay,az,gx,gy,gz,mx,my,mz
355,0.988805,9.555259,1.012747,-0.006662,0.000400,0.002132,17.247190,57.740593,6.298974
358,1.048660,9.488221,1.015141,-0.005729,0.008527,0.004397,17.247190,57.740593,6.298974
360,1.036689,9.488221,0.991199,-0.005995,0.006928,0.006662,17.247190,57.740593,6.298974
363,1.012747,9.500193,0.967257,-0.003597,0.003864,0.007861,17.247190,57.740593,6.298974
365,1.039083,9.500193,1.029507,-0.003997,0.006395,0.001199,17.097216,56.390812,5.699071
368,0.979228,9.524135,1.024718,-0.006795,0.007461,0.005596,17.097216,56.390812,5.699071
370,1.010353,9.502586,0.988805,-0.006662,0.008793,0.000266,17.097216,56.390812,5.699071
373,0.969652,9.493010,1.010353,-0.004130,0.002931,0.003597,17.097216,56.390812,5.699071
375,1.015141,9.504981,0.998382,-0.008793,0.005995,0.001466,17.097216,56.390812,5.699071
377,1.007959,9.478644,1.036689,-0.008793,0.004130,0.006795,17.247190,54.591106,6.748900
380,1.022324,9.521740,1.029507,-0.003597,0.004930,0.008394,17.247190,54.591106,6.748900
382,0.986411,9.457097,0.998382,-0.003730,0.004930,0.003997,17.247190,54.591106,6.748900
384,1.005565,9.447520,0.995988,-0.003864,0.003198,0.001998,17.247190,54.591106,6.748900
387,1.051055,9.502586,1.055843,-0.010658,0.004130,0.003464,16.797264,54.591106,6.298974
389,1.072602,9.533711,0.991199,-0.006928,0.008527,0.000400,16.797264,54.591106,6.298974
392,1.029507,9.478644,1.010353,-0.001998,0.008127,0.006262,16.797264,54.591106,6.298974
394,1.010353,9.497798,0.984017,-0.005462,0.005462,0.006395,16.797264,54.591106,6.298974
396,1.036689,9.586384,1.034295,-0.004397,0.001466,0.008793,17.397165,56.090862,5.699071
399,1.065420,9.502586,0.995988,-0.001332,0.009459,0.002798,17.397165,56.090862,5.699071
401,0.952892,9.526528,1.007959,-0.004796,0.001998,0.008793,17.397165,56.090862,5.699071
403,0.957681,9.526528,1.003170,-0.006129,0.006662,0.006528,17.397165,56.090862,5.699071
406,0.962469,9.533711,0.998382,-0.006528,0.010658,0.005462,17.097216,56.390812,6.148998
408,1.010353,9.502586,0.995988,-0.005462,0.005196,0.005462,17.097216,56.390812,6.148998
410,1.041478,9.481039,1.079785,-0.003864,0.006528,0.004397,17.097216,56.390812,6.148998
413,1.031901,9.524135,1.000776,-0.003864,0.005995,0.006528,17.097216,56.390812,6.148998
415,1.039083,9.552865,1.029507,-0.008926,0.006662,0.004397,17.097216,56.390812,6.148998
418,0.991199,9.466674,0.993594,-0.005729,0.002931,0.000533,16.647287,57.590618,4.949194
421,1.017536,9.457097,0.993594,-0.008527,0.004663,0.005329,16.647287,57.590618,4.949194
423,1.036689,9.524135,1.019930,-0.005995,0.005462,0.007861,16.647287,57.590618,4.949194
426,1.015141,9.526528,1.012747,-0.005729,0.007994,0.000799,17.997068,56.990715,6.298974
428,1.027112,9.543288,1.024718,-0.006395,0.005995,0.006795,17.997068,56.990715,6.298974
431,0.984017,9.512163,1.012747,-0.003864,0.006928,0.006662,17.997068,56.990715,6.298974
433,1.017536,9.488221,0.995988,-0.003730,0.006928,0.009060,17.997068,56.990715,6.298974
435,1.007959,9.473856,1.012747,-0.009193,0.005063,0.001332,17.997068,56.990715,6.298974
438,0.967257,9.495404,0.995988,-0.008127,0.006928,0.001466,17.997068,56.990715,6.298974
440,1.041478,9.519346,1.051055,-0.012524,0.004930,0.008527,17.997068,56.990715,6.298974
443,1.017536,9.488221,1.000776,-0.009859,0.004796,0.004930,17.997068,56.990715,6.298974
445,1.048660,9.481039,0.988805,-0.005329,0.007194,0.001066,17.997068,56.990715,6.298974
447,0.976834,9.478644,0.986411,-0.003597,0.005196,0.002531,17.097216,55.191010,7.198827
450,1.024718,9.540894,1.022324,-0.003464,0.002798,0.004663,17.097216,55.191010,7.198827
452,0.976834,9.504981,1.079785,-0.005196,0.002798,0.006395,17.097216,55.191010,7.198827
454,0.998382,9.471462,0.964863,-0.007461,0.005596,0.005596,17.097216,55.191010,7.198827
457,1.022324,9.502586,1.039083,-0.004530,0.006262,0.002398,17.097216,55.191010,7.198827
